City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Bairiki,1.3292,172.9752,84.2,70,75,8.05,KI,2023-01-15 06:39:59
115,Chicama,-7.8447,-79.1469,63.14,71,100,2.64,PE,2023-01-15 06:39:59
116,Ulladulla,-35.35,150.4667,72.1,86,78,8.16,AU,2023-01-15 06:38:57
117,Muzhi,65.3667,64.6667,14.11,95,100,6.08,RU,2023-01-15 06:40:00
118,Pangnirtung,66.1451,-65.7125,-18.31,100,100,4.5,CA,2023-01-15 06:40:00
119,Isangel,-19.55,169.2667,82.51,74,100,4.61,VU,2023-01-15 06:37:48
120,Wenling,28.3669,121.36,37.83,76,100,19.55,CN,2023-01-15 06:40:01
121,Santa Isabel,-23.3156,-46.2214,70.9,96,99,1.97,BR,2023-01-15 06:40:01
122,Bikaner,28.0167,73.3,60.06,11,0,2.86,IN,2023-01-15 06:39:41
123,Cabinda,-5.55,12.2,77.14,100,75,4.61,AO,2023-01-15 06:40:02
124,Aksu,41.1231,80.2644,13.48,77,72,3.29,CN,2023-01-15 06:40:02
125,Saint-Philippe,-21.3585,55.7679,85.59,79,37,13.09,RE,2023-01-15 06:40:03
126,Shamary,57.3434,58.2199,11.57,78,100,12.77,RU,2023-01-15 06:40:03
127,Zhob,31.3411,69.4481,41.76,14,0,6.04,PK,2023-01-15 06:40:03
128,Nelson Bay,-32.7167,152.15,86.05,69,0,27.0,AU,2023-01-15 06:40:04
129,Santa Cruz,-17.8,-63.1667,63.86,100,40,3.44,BO,2023-01-15 06:37:55
130,Praia,14.9215,-23.5087,70.34,83,0,17.27,CV,2023-01-15 06:40:05
131,Powell River,49.8496,-124.5361,44.6,80,100,4.36,CA,2023-01-15 06:40:05
132,Tondano,1.3038,124.9112,82.49,60,95,1.63,ID,2023-01-15 06:40:06
133,Saldanha,-33.0117,17.9442,69.85,76,50,15.23,ZA,2023-01-15 06:40:06
134,Crib Point,-38.35,145.2,70.03,62,0,16.67,AU,2023-01-15 06:40:06
135,Poya,-21.35,165.15,81.73,67,38,7.34,NC,2023-01-15 06:40:07
136,Airai,-8.9266,125.4092,68.4,78,100,3.27,TL,2023-01-15 06:41:09
137,Barcelos,41.5388,-8.6151,50.14,84,100,8.7,PT,2023-01-15 06:41:10
138,Maiduguri,11.8464,13.1603,65.73,48,3,9.1,NG,2023-01-15 06:41:11
139,Savalou,7.9281,1.9756,73.99,78,0,0.58,BJ,2023-01-15 06:41:13
140,Cabo San Lucas,22.8909,-109.9124,71.51,75,0,12.88,MX,2023-01-15 06:41:14
141,Manggar,-2.8833,108.2667,82.53,73,99,4.72,ID,2023-01-15 06:41:15
142,Barra Patuca,15.8,-84.2833,73.85,73,97,12.59,HN,2023-01-15 06:41:15
143,San-Pedro,4.7485,-6.6363,75.79,88,7,1.03,CI,2023-01-15 06:41:16
144,Halifax,44.6453,-63.5724,32.22,93,100,14.0,CA,2023-01-15 06:40:05
145,Tongliao,43.6125,122.2653,14.16,26,0,14.18,CN,2023-01-15 06:39:18
146,Saint-Francois,46.4154,3.9054,44.04,87,75,17.27,FR,2023-01-15 06:41:18
147,Kelvington,52.1667,-103.5343,14.38,96,100,5.84,CA,2023-01-15 06:41:19
148,Georgetown,5.4112,100.3354,87.73,78,20,8.05,MY,2023-01-15 06:41:20
149,Amapa,1.0,-52.0,70.83,99,100,1.45,BR,2023-01-15 06:41:21
150,Severo-Kurilsk,50.6789,156.125,16.34,77,100,32.57,RU,2023-01-15 06:38:59
151,Fort Nelson,58.8053,-122.7002,8.19,92,100,0.0,CA,2023-01-15 06:41:23
152,Meulaboh,4.1363,96.1285,83.57,70,92,7.47,ID,2023-01-15 06:41:23
153,Sharjah,25.3573,55.4033,69.78,60,0,6.91,AE,2023-01-15 06:40:52
154,Vanimo,-2.6741,141.3028,82.13,75,32,3.42,PG,2023-01-15 06:41:26
155,Yurla,59.3259,54.3223,16.63,85,100,12.59,RU,2023-01-15 06:41:26
156,Jamestown,42.097,-79.2353,24.39,93,100,9.22,US,2023-01-15 06:36:57
157,Beya,53.0533,90.9139,16.54,81,100,21.41,RU,2023-01-15 06:41:32
158,Sestri Levante,44.2732,9.3968,55.56,87,100,1.01,IT,2023-01-15 06:41:33
159,Noyabrsk,63.1994,75.4507,-2.65,99,100,6.64,RU,2023-01-15 06:41:34
160,Turukhansk,65.8167,87.9833,-34.47,90,18,5.7,RU,2023-01-15 06:41:36
161,Nicoya,10.1483,-85.452,73.98,72,100,17.11,CR,2023-01-15 06:41:38
162,Acapulco,16.8634,-99.8901,75.02,88,20,0.0,MX,2023-01-15 06:40:21
163,Kaitangata,-46.2817,169.8464,64.11,75,0,5.57,NZ,2023-01-15 06:41:38
164,Pochutla,15.7432,-96.4661,69.82,62,2,4.36,MX,2023-01-15 06:41:39
165,Hambantota,6.1241,81.1185,84.54,74,75,10.36,LK,2023-01-15 06:41:39
166,Haines Junction,60.7522,-137.5108,2.91,99,100,0.78,CA,2023-01-15 06:41:40
167,Goksun,38.021,36.4973,34.23,92,100,4.21,TR,2023-01-15 06:41:40
168,Aligudarz,33.4006,49.6949,35.24,90,74,4.18,IR,2023-01-15 06:41:41
169,Port Blair,11.6667,92.75,82.44,54,5,11.5,IN,2023-01-15 06:41:41
170,Norman Wells,65.282,-126.8329,-5.76,71,100,9.22,CA,2023-01-15 06:41:42
